
Epoch: 72  Loss: 0.003896  Accuracy: 0.999533  Accuracy Val: 0.978800
Epoch: 73  Loss: 0.004475  Accuracy: 0.999500  Accuracy Val: 0.978400
Epoch: 74  Loss: 0.003782  Accuracy: 0.999650  Accuracy Val: 0.978800
Epoch: 75  Loss: 0.001068  Accuracy: 0.999617  Accuracy Val: 0.978800
Epoch: 76  Loss: 0.005570  Accuracy: 0.999683  Accuracy Val: 0.978600
Epoch: 77  Loss: 0.004106  Accuracy: 0.999600  Accuracy Val: 0.979000
Epoch: 78  Loss: 0.003391  Accuracy: 0.999667  Accuracy Val: 0.979500
Epoch: 79  Loss: 0.003277  Accuracy: 0.999750  Accuracy Val: 0.979200
Epoch: 80  Loss: 0.002899  Accuracy: 0.999833  Accuracy Val: 0.979200
Epoch: 81  Loss: 0.004328  Accuracy: 0.999833  Accuracy Val: 0.980200
Epoch: 82  Loss: 0.006028  Accuracy: 0.999817  Accuracy Val: 0.978300
Epoch: 83  Loss: 0.001007  Accuracy: 0.999850  Accuracy Val: 0.979500
Epoch: 84  Loss: 0.001913  Accuracy: 0.999867  Accuracy Val: 0.978800
Epoch: 85  Loss: 0.001770  Accuracy: 0.999833  Accuracy Val: 0.979700
Epoch: 86  Loss: 0.007157  Accuracy: 0.999867  Accuracy Val: 0.979100
Epoch: 87  Loss: 0.001189  Accuracy: 0.999833  Accuracy Val: 0.978900
Epoch: 88  Loss: 0.005955  Accuracy: 0.999883  Accuracy Val: 0.979600
Epoch: 89  Loss: 0.005946  Accuracy: 0.999917  Accuracy Val: 0.979600
Epoch: 90  Loss: 0.001602  Accuracy: 0.999933  Accuracy Val: 0.979000
Epoch: 91  Loss: 0.001784  Accuracy: 0.999933  Accuracy Val: 0.979100
Epoch: 92  Loss: 0.002349  Accuracy: 0.999917  Accuracy Val: 0.978400
Epoch: 93  Loss: 0.000856  Accuracy: 0.999950  Accuracy Val: 0.979900
Epoch: 94  Loss: 0.001589  Accuracy: 0.999967  Accuracy Val: 0.979200
Epoch: 95  Loss: 0.002946  Accuracy: 0.999967  Accuracy Val: 0.979500
Epoch: 96  Loss: 0.001780  Accuracy: 0.999933  Accuracy Val: 0.979000
Epoch: 97  Loss: 0.003234  Accuracy: 0.999967  Accuracy Val: 0.979800
Epoch: 98  Loss: 0.001596  Accuracy: 0.999967  Accuracy Val: 0.979400
Epoch: 99  Loss: 0.004001  Accuracy: 0.999983  Accuracy Val: 0.979500
Epoch: 100  Loss: 0.000794  Accuracy: 1.000000  Accuracy Val: 0.979300
Epoch: 101  Loss: 0.001019  Accuracy: 0.999983  Accuracy Val: 0.979800
Epoch: 102  Loss: 0.000978  Accuracy: 0.999983  Accuracy Val: 0.979700
Epoch: 103  Loss: 0.001803  Accuracy: 0.999983  Accuracy Val: 0.979300
Epoch: 104  Loss: 0.001067  Accuracy: 0.999950  Accuracy Val: 0.979500
Epoch: 105  Loss: 0.002069  Accuracy: 0.999950  Accuracy Val: 0.979600
Epoch: 106  Loss: 0.000966  Accuracy: 0.999983  Accuracy Val: 0.979400
Epoch: 107  Loss: 0.000732  Accuracy: 1.000000  Accuracy Val: 0.979700
Epoch: 108  Loss: 0.001540  Accuracy: 0.999983  Accuracy Val: 0.979900
Epoch: 109  Loss: 0.000702  Accuracy: 0.999950  Accuracy Val: 0.979500
Epoch: 110  Loss: 0.002228  Accuracy: 0.999983  Accuracy Val: 0.979900
Epoch: 111  Loss: 0.000933  Accuracy: 1.000000  Accuracy Val: 0.979500
Epoch: 112  Loss: 0.001211  Accuracy: 1.000000  Accuracy Val: 0.979500
Epoch: 113  Loss: 0.000768  Accuracy: 0.999983  Accuracy Val: 0.979900
Epoch: 114  Loss: 0.000525  Accuracy: 0.999967  Accuracy Val: 0.979400
Epoch: 115  Loss: 0.000928  Accuracy: 0.999983  Accuracy Val: 0.979600
Epoch: 116  Loss: 0.000926  Accuracy: 0.999983  Accuracy Val: 0.979900
Epoch: 117  Loss: 0.000949  Accuracy: 0.999983  Accuracy Val: 0.979700
Epoch: 118  Loss: 0.001562  Accuracy: 0.999983  Accuracy Val: 0.980200
Epoch: 119  Loss: 0.000874  Accuracy: 0.999983  Accuracy Val: 0.980000
Epoch: 120  Loss: 0.000624  Accuracy: 0.999967  Accuracy Val: 0.979700
Epoch: 121  Loss: 0.001170  Accuracy: 1.000000  Accuracy Val: 0.980200
Epoch: 122  Loss: 0.001224  Accuracy: 1.000000  Accuracy Val: 0.979300
Epoch: 123  Loss: 0.001078  Accuracy: 0.999983  Accuracy Val: 0.979700
Epoch: 124  Loss: 0.000435  Accuracy: 0.999983  Accuracy Val: 0.979700
Epoch: 125  Loss: 0.000694  Accuracy: 1.000000  Accuracy Val: 0.980200
Epoch: 126  Loss: 0.001503  Accuracy: 1.000000  Accuracy Val: 0.979400
Epoch: 127  Loss: 0.000804  Accuracy: 1.000000  Accuracy Val: 0.979300
Epoch: 128  Loss: 0.000718  Accuracy: 1.000000  Accuracy Val: 0.980000
Epoch: 129  Loss: 0.000893  Accuracy: 1.000000  Accuracy Val: 0.979800
Epoch: 130  Loss: 0.001050  Accuracy: 0.999983  Accuracy Val: 0.980000
Epoch: 131  Loss: 0.000817  Accuracy: 1.000000  Accuracy Val: 0.979600
Epoch: 132  Loss: 0.000782  Accuracy: 1.000000  Accuracy Val: 0.979600
